t,g,p,q,seed,status,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components,best_restart,best_step,permutation_image
22,27,29,29,26232199,miss,2,29,27,29,98,96,28,27,1,1,3874,
26,32,34,34,27265155,miss,2,34,32,34,116,114,33,32,1,1,4550,
30,37,39,39,28298111,miss,2,39,37,39,134,132,38,37,1,2,7106,
31,38,40,41,28635975,miss,2,40,41,39,136,138,38,39,1,3,10629,
31,38,41,40,28570441,miss,2,39,40,40,138,138,39,39,1,1,7598,
32,40,41,41,28720873,miss,6,35,41,41,148,148,43,43,1,3,7126,
34,42,44,44,29331067,miss,2,44,42,44,152,150,43,42,1,2,9702,
35,43,45,46,29668931,miss,2,45,46,44,154,156,43,44,1,2,7260,
35,43,46,45,29603397,miss,2,46,43,45,156,154,44,43,1,1,11777,
36,45,46,46,29753829,miss,2,44,46,46,162,162,46,46,1,1,13085,
38,47,49,49,30364023,miss,2,47,49,49,170,170,48,48,1,0,11087,
39,48,50,51,30701887,miss,3,49,50,50,174,174,49,49,1,1,14970,
39,48,51,50,30636353,miss,4,51,46,50,176,172,50,48,1,2,13863,
40,49,51,53,31039751,miss,4,47,53,53,180,180,51,51,1,1,14172,
40,49,52,52,30974217,miss,9,51,49,47,180,182,51,52,1,3,14826,
40,49,53,51,30908683,miss,6,51,47,51,182,178,52,50,1,1,14897,
40,50,51,51,30786785,miss,2,51,51,49,178,180,50,51,1,1,10109,
