source_index,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
0,41,51,52,53,42,52,54,54,720,130,246 247 249 251 248 250,0,54,54,54,186,186,52,52,1
0,41,51,52,53,42,53,53,53,720,20,246 249 250 251 247 248,0,53,53,53,188,188,53,53,1
1,41,51,52,53,42,52,54,54,720,130,246 247 249 251 248 250,0,54,54,54,186,186,52,52,1
1,41,51,52,53,42,53,53,53,720,20,246 249 250 251 247 248,0,53,53,53,188,188,53,53,1
2,41,51,53,52,42,52,54,54,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
2,41,51,53,52,42,53,53,53,720,54,247 249 246 251 248 250,0,53,53,53,188,188,53,53,1
3,41,51,53,52,42,52,54,54,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
3,41,51,53,52,42,53,53,53,720,54,247 249 246 251 248 250,0,53,53,53,188,188,53,53,1
4,41,51,52,53,42,52,54,54,720,130,246 247 249 251 248 250,0,54,54,54,186,186,52,52,1
4,41,51,52,53,42,53,53,53,720,20,246 249 250 251 247 248,0,53,53,53,188,188,53,53,1
5,41,51,53,52,42,52,54,54,720,114,246 248 249 251 247 250,0,54,54,54,186,186,52,52,1
5,41,51,53,52,42,53,53,53,720,54,247 249 246 251 248 250,0,53,53,53,188,188,53,53,1
