file,target_t,target_g,target_p,target_q,source_rows,positive_source_rows,total_hits,min_hits,median_hits,max_hits,hit_counts
k6_strict_split_fixed_bridge_hit_counts_t40_to_t41.csv,41,51,52,53,4,3,188,0,37.0,114,20;54;0;114
k6_strict_split_fixed_bridge_hit_counts_t40_to_t41.csv,41,51,53,52,4,3,204,0,37.0,130,0;20;54;130
k6_strict_split_fixed_bridge_hit_counts_t41_to_t42.csv,42,52,54,54,6,6,732,114,122.0,130,130;130;114;114;130;114
k6_strict_split_fixed_bridge_hit_counts_t41_to_t42.csv,42,53,53,53,6,6,222,20,37.0,54,20;20;54;54;20;54
k6_strict_split_fixed_bridge_hit_counts_t42_to_t43.csv,43,53,55,56,12,12,714,5,59.5,114,114;5;114;5;114;5;114;5;114;5;114;5
k6_strict_split_fixed_bridge_hit_counts_t42_to_t43.csv,43,53,56,55,12,12,960,30,80.0,130,130;30;130;30;130;30;130;30;130;30;130;30
k6_strict_split_fixed_bridge_hit_counts_t43_to_t44.csv,44,54,56,58,24,24,1440,6,60.0,114,114;6;114;6;114;6;114;6;114;6;114;6;114;6;114;6;114;6;114;6;114;6;114;6
k6_strict_split_fixed_bridge_hit_counts_t43_to_t44.csv,44,54,57,57,24,24,2928,114,122.0,130,130;114;130;114;130;114;130;114;130;114;130;114;130;114;130;114;130;114;130;114;130;114;130;114
k6_strict_split_fixed_bridge_hit_counts_t43_to_t44.csv,44,54,58,56,24,24,1740,15,72.5,130,15;130;15;130;15;130;15;130;15;130;15;130;15;130;15;130;15;130;15;130;15;130;15;130
k6_strict_split_fixed_bridge_hit_counts_t43_to_t44.csv,44,55,56,56,24,24,888,20,37.0,54,20;54;20;54;20;54;20;54;20;54;20;54;20;54;20;54;20;54;20;54;20;54;20;54
