k,r,j,h,E,count
4,1,0,1,2,10
4,1,0,2,4,5
4,2,0,2,4,100
4,2,0,3,6,100
4,2,0,4,8,25
4,2,1,0,4,1548
4,2,1,1,6,5328
4,2,1,2,8,11640
4,2,1,3,10,11760
4,2,1,4,12,7820
4,2,1,5,14,1472
4,2,1,6,16,176
4,3,0,3,6,1000
4,3,0,4,8,1500
4,3,0,5,10,750
4,3,0,6,12,125
4,3,1,1,6,46440
4,3,1,2,8,183060
4,3,1,3,10,429120
4,3,1,4,12,527400
4,3,1,5,14,411000
4,3,1,6,16,161460
4,3,1,7,18,27360
4,3,1,8,20,2640
4,3,2,0,8,763136
4,3,2,1,10,4993280
4,3,2,2,12,21582464
4,3,2,3,14,56381056
4,3,2,4,16,107951616
4,3,2,5,18,126906496
4,3,2,6,20,105243264
4,3,2,7,22,41506048
4,3,2,8,24,10798848
